cleanlab_rank,filename,filepath,current_label,suggested_label,current_label_probability,suggested_label_probability,issue_score,needs_review
1,Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_161.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Black_spiny_tailed_iguana\Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_161.jpg,Black_spiny_tailed_iguana,Brown_anole,0.0018865585,0.41605115,0.99811345,True
2,Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_36.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Black_spiny_tailed_iguana\Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_36.jpg,Black_spiny_tailed_iguana,Brown_anole,0.0020274078,0.7842676,0.9979726,True
3,Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_89.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Black_spiny_tailed_iguana\Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_89.jpg,Black_spiny_tailed_iguana,Brown_anole,0.009049877,0.6441822,0.9909501,True
4,Desert_iguana_Desert_iguana_61.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Desert_iguana\Desert_iguana_Desert_iguana_61.jpg,Desert_iguana,Black_spiny_tailed_iguana,0.015422815,0.80383587,0.9845772,True
5,Green_anole_Green_anole_23.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_23.jpg,Green_anole,Cuban_knight_anole,0.02168846,0.66254336,0.97831154,True
6,Green_iguana_Green_iguana_18.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_iguana\Green_iguana_Green_iguana_18.jpg,Green_iguana,Cuban_knight_anole,0.023285521,0.47687733,0.9767145,True
7,Lesser_Antillean_iguana_Lesser_Antillean_iguana_155.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Lesser_Antillean_iguana\Lesser_Antillean_iguana_Lesser_Antillean_iguana_155.jpg,Lesser_Antillean_iguana,Black_spiny_tailed_iguana,0.03969869,0.7783767,0.9603013,True
8,Lesser_Antillean_iguana_Lesser_Antillean_iguana_25.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Lesser_Antillean_iguana\Lesser_Antillean_iguana_Lesser_Antillean_iguana_25.jpg,Lesser_Antillean_iguana,Desert_iguana,0.058953024,0.5753244,0.94104695,True
9,Green_iguana_Green_iguana_23.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_iguana\Green_iguana_Green_iguana_23.jpg,Green_iguana,Lesser_Antillean_iguana,0.07501395,0.6374655,0.92498606,True
10,Cuban_knight_anole_Cuban_knight_anole_182.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Cuban_knight_anole\Cuban_knight_anole_Cuban_knight_anole_182.jpg,Cuban_knight_anole,Green_anole,0.07586124,0.87374496,0.9241388,True
11,Green_iguana_Green_iguana_192.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_iguana\Green_iguana_Green_iguana_192.jpg,Green_iguana,Cuban_knight_anole,0.077650785,0.5865954,0.9223492,True
12,Cuban_knight_anole_Cuban_knight_anole_27.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Cuban_knight_anole\Cuban_knight_anole_Cuban_knight_anole_27.jpg,Cuban_knight_anole,Green_anole,0.09597406,0.45416287,0.9040259,True
13,Green_anole_Green_anole_83.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_83.jpg,Green_anole,Cuban_knight_anole,0.11055085,0.60467166,0.8894491,True
14,Green_anole_Green_anole_106.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_106.jpg,Green_anole,Cuban_knight_anole,0.12141125,0.43276805,0.87858874,True
15,Lesser_Antillean_iguana_Lesser_Antillean_iguana_115.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Lesser_Antillean_iguana\Lesser_Antillean_iguana_Lesser_Antillean_iguana_115.jpg,Lesser_Antillean_iguana,Green_iguana,0.12969454,0.4173961,0.8703055,True
16,Brown_anole_Brown_anole_206.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Brown_anole\Brown_anole_Brown_anole_206.jpg,Brown_anole,Green_anole,0.13483095,0.3581822,0.86516905,True
17,Green_iguana_Green_iguana_7.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_iguana\Green_iguana_Green_iguana_7.jpg,Green_iguana,Cuban_knight_anole,0.14039586,0.71237653,0.8596041,True
18,Brown_anole_Brown_anole_37.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Brown_anole\Brown_anole_Brown_anole_37.jpg,Brown_anole,Cuban_knight_anole,0.16194926,0.35416922,0.8380507,True
19,Lesser_Antillean_iguana_Lesser_Antillean_iguana_48.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Lesser_Antillean_iguana\Lesser_Antillean_iguana_Lesser_Antillean_iguana_48.jpg,Lesser_Antillean_iguana,Black_spiny_tailed_iguana,0.16755843,0.8149054,0.83244157,True
20,Cuban_knight_anole_Cuban_knight_anole_107.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Cuban_knight_anole\Cuban_knight_anole_Cuban_knight_anole_107.jpg,Cuban_knight_anole,Brown_anole,0.19139157,0.45069015,0.8086084,True
21,Green_iguana_Green_iguana_126.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_iguana\Green_iguana_Green_iguana_126.jpg,Green_iguana,Lesser_Antillean_iguana,0.19346187,0.8016138,0.8065381,True
22,Green_iguana_Green_iguana_1.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_iguana\Green_iguana_Green_iguana_1.jpg,Green_iguana,Black_spiny_tailed_iguana,0.19382447,0.3801797,0.80617553,True
23,Cuban_knight_anole_Cuban_knight_anole_74.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Cuban_knight_anole\Cuban_knight_anole_Cuban_knight_anole_74.jpg,Cuban_knight_anole,Green_anole,0.20609531,0.28798157,0.79390466,True
24,Brown_anole_Brown_anole_18.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Brown_anole\Brown_anole_Brown_anole_18.jpg,Brown_anole,Cuban_knight_anole,0.21423557,0.51192933,0.78576446,True
25,Green_anole_Green_anole_73.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_73.jpg,Green_anole,Brown_anole,0.22316141,0.7482275,0.7768386,True
26,Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_76.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Black_spiny_tailed_iguana\Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_76.jpg,Black_spiny_tailed_iguana,Green_iguana,0.24180885,0.6719164,0.75819117,True
27,Green_anole_Green_anole_76.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_76.jpg,Green_anole,Cuban_knight_anole,0.24209744,0.63435274,0.75790256,True
28,Cuban_knight_anole_Cuban_knight_anole_117.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Cuban_knight_anole\Cuban_knight_anole_Cuban_knight_anole_117.jpg,Cuban_knight_anole,Green_anole,0.2444333,0.5160601,0.7555667,True
29,Brown_anole_Brown_anole_87.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Brown_anole\Brown_anole_Brown_anole_87.jpg,Brown_anole,Green_anole,0.24669921,0.44816017,0.7533008,True
30,Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_180.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Black_spiny_tailed_iguana\Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_180.jpg,Black_spiny_tailed_iguana,Lesser_Antillean_iguana,0.25203368,0.51529956,0.7479663,True
31,Green_anole_Green_anole_97.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_97.jpg,Green_anole,Brown_anole,0.25232074,0.41674295,0.74767923,True
32,Green_iguana_Green_iguana_188.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_iguana\Green_iguana_Green_iguana_188.jpg,Green_iguana,Cuban_knight_anole,0.25892177,0.3330245,0.74107826,True
33,Green_anole_Green_anole_20.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_20.jpg,Green_anole,Brown_anole,0.2627166,0.7186352,0.7372834,True
34,Green_iguana_Green_iguana_122.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_iguana\Green_iguana_Green_iguana_122.jpg,Green_iguana,Lesser_Antillean_iguana,0.27189207,0.721936,0.7281079,True
35,Green_iguana_Green_iguana_200.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_iguana\Green_iguana_Green_iguana_200.jpg,Green_iguana,Black_spiny_tailed_iguana,0.2857917,0.660594,0.7142083,True
36,Green_anole_Green_anole_183.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_183.jpg,Green_anole,Brown_anole,0.29713598,0.7023653,0.70286405,True
37,Brown_anole_Anolis_carolinensis_12.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Brown_anole\Brown_anole_Anolis_carolinensis_12.jpg,Brown_anole,Green_anole,0.31062454,0.6059952,0.68937546,True
38,Cuban_knight_anole_Cuban_knight_anole_157.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Cuban_knight_anole\Cuban_knight_anole_Cuban_knight_anole_157.jpg,Cuban_knight_anole,Green_anole,0.31288967,0.6492772,0.6871103,True
39,Green_iguana_Green_iguana_148.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_iguana\Green_iguana_Green_iguana_148.jpg,Green_iguana,Lesser_Antillean_iguana,0.31501785,0.68035495,0.6849822,True
40,Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_43.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Black_spiny_tailed_iguana\Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_43.jpg,Black_spiny_tailed_iguana,Green_iguana,0.35863796,0.51194364,0.6413621,True
41,Green_iguana_Green_iguana_107.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_iguana\Green_iguana_Green_iguana_107.jpg,Green_iguana,Lesser_Antillean_iguana,0.40845817,0.56837416,0.5915418,True
42,Green_anole_Green_anole_47.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_47.jpg,Green_anole,Brown_anole,0.4094665,0.56782246,0.5905335,True
43,Cuban_knight_anole_Anolis_equestris_4.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Cuban_knight_anole\Cuban_knight_anole_Anolis_equestris_4.jpg,Cuban_knight_anole,Green_anole,0.42356777,0.51426995,0.5764322,True
