issue_type,duplicate_group_id,class_name,kept_filepath,moved_filepath,target_filepath
exact_duplicates,1,Green_anole,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Anolis_carolinensis_1.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_1.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\removed images\Green_anole\Green_anole_Green_anole_1.jpg
exact_duplicates,2,Green_anole,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Anolis_carolinensis_10.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_10.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\removed images\Green_anole\Green_anole_Green_anole_10.jpg
exact_duplicates,3,Green_anole,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Anolis_carolinensis_12.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_12.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\removed images\Green_anole\Green_anole_Green_anole_12.jpg
exact_duplicates,4,Green_anole,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Anolis_carolinensis_13.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_53.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\removed images\Green_anole\Green_anole_Green_anole_53.jpg
exact_duplicates,5,Green_anole,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Anolis_carolinensis_14.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_212.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\removed images\Green_anole\Green_anole_Green_anole_212.jpg
exact_duplicates,6,Green_anole,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Anolis_carolinensis_16.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_16.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\removed images\Green_anole\Green_anole_Green_anole_16.jpg
exact_duplicates,7,Green_anole,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Anolis_carolinensis_17.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_17.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\removed images\Green_anole\Green_anole_Green_anole_17.jpg
exact_duplicates,8,Green_anole,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Anolis_carolinensis_18.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_18.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\removed images\Green_anole\Green_anole_Green_anole_18.jpg
exact_duplicates,9,Green_anole,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Anolis_carolinensis_19.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_19.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\removed images\Green_anole\Green_anole_Green_anole_19.jpg
exact_duplicates,10,Green_anole,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Anolis_carolinensis_2.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_2.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\removed images\Green_anole\Green_anole_Green_anole_2.jpg
exact_duplicates,11,Green_anole,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Anolis_carolinensis_3.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_203.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\removed images\Green_anole\Green_anole_Green_anole_203.jpg
exact_duplicates,12,Green_anole,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Anolis_carolinensis_5.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_205.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\removed images\Green_anole\Green_anole_Green_anole_205.jpg
exact_duplicates,13,Green_anole,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Anolis_carolinensis_6.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_206.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\removed images\Green_anole\Green_anole_Green_anole_206.jpg
exact_duplicates,14,Green_anole,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Anolis_carolinensis_7.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_7.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\removed images\Green_anole\Green_anole_Green_anole_7.jpg
exact_duplicates,15,Green_anole,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Anolis_carolinensis_8.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_8.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\removed images\Green_anole\Green_anole_Green_anole_8.jpg
exact_duplicates,16,Green_anole,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Anolis_carolinensis_9.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\train\Green_anole\Green_anole_Green_anole_9.jpg,c:\school\data science\DL\AI-Lizard-Prediction-Challenge\removed images\Green_anole\Green_anole_Green_anole_9.jpg
